max_user_games,min_game_users,n_users,n_games,n_edges,projection_pairs_from_users,users_degree_0_after_game_filter,users_degree_1_after_game_filter,max_user_degree_after_filter,n_vertices,avg_degree,users_preserved_pct,games_preserved_pct,edges_preserved_pct,projection_pairs_preserved_pct,graphml_estimated_gib
20,1,6012184,36432,25460132,74412843,0,0,20,6048616,8.4185,96.97,97.63,79.42,35.32,1.7326
20,5,6012143,28396,25440244,74267647,41,2385,20,6040539,8.4232,96.97,76.09,79.35,35.25,1.7313
20,10,6011949,22316,25399658,73976274,235,7328,20,6034265,8.4185,96.97,59.8,79.23,35.12,1.7285
20,20,6011541,17058,25327566,73465397,643,15826,20,6028599,8.4025,96.96,45.71,79.0,34.87,1.7236
20,50,6010381,11756,25160423,72309387,1803,35903,20,6022137,8.356,96.94,31.5,78.48,34.33,1.7122
20,100,6008420,8614,24939198,70812206,3764,62255,20,6017034,8.2895,96.91,23.08,77.79,33.61,1.6972
30,1,6112693,36789,27939339,104147952,0,0,30,6149482,9.0867,98.59,98.59,87.15,49.44,1.9013
30,5,6112662,29819,27921494,103966783,31,1842,30,6142481,9.0913,98.59,79.91,87.09,49.35,1.9001
30,10,6112520,23778,27880872,103568806,173,6064,30,6136298,9.0872,98.59,63.72,86.97,49.16,1.8974
30,20,6112170,18229,27804458,102828285,523,13724,30,6130399,9.071,98.59,48.85,86.73,48.81,1.8922
30,50,6111201,12629,27627800,101172407,1492,31802,30,6123830,9.023,98.57,33.84,86.18,48.03,1.8801
30,100,6109486,9278,27390094,98990733,3207,55720,30,6118764,8.9528,98.54,24.86,85.44,46.99,1.864
50,1,6172416,37101,30219185,147442216,0,0,50,6209517,9.7332,99.56,99.42,94.26,69.99,2.0565
50,5,6172395,31368,30204133,147216099,21,1295,50,6203763,9.7374,99.56,84.06,94.21,69.88,2.0555
50,10,6172294,25318,30163242,146624706,122,4903,50,6197612,9.7338,99.56,67.85,94.09,69.6,2.0527
50,20,6171996,19581,30083991,145506776,420,11792,50,6191577,9.7177,99.55,52.47,93.84,69.07,2.0473
50,50,6171146,13532,29893313,142912205,1270,28112,50,6184678,9.6669,99.54,36.26,93.24,67.84,2.0343
50,100,6169650,10027,29644613,139668093,2766,49810,50,6179677,9.5942,99.51,26.87,92.47,66.3,2.0174
75,1,6192770,37244,31450647,184580498,0,0,75,6230014,10.0965,99.89,99.8,98.1,87.62,2.1403
75,5,6192756,32305,31437449,184313268,14,1037,75,6225061,10.1003,99.89,86.57,98.06,87.49,2.1394
75,10,6192673,26345,31396992,183524872,97,4235,75,6219018,10.0971,99.88,70.6,97.93,87.12,2.1366
75,20,6192412,20450,31315415,181989428,358,10632,75,6212862,10.0808,99.88,54.8,97.68,86.39,2.1311
75,50,6191627,14166,31117547,178419884,1143,25928,75,6205793,10.0285,99.87,37.96,97.06,84.7,2.1176
75,100,6190234,10491,30857288,173984803,2536,46762,75,6200725,9.9528,99.85,28.11,96.25,82.59,2.0999
100,1,6199837,37317,32059257,210659557,0,0,100,6237154,10.2801,100.0,100.0,100.0,100.0,2.1817
100,5,6199823,32859,32047206,210359228,14,900,100,6232682,10.2836,100.0,88.05,99.96,99.86,2.1809
100,10,6199753,27007,32007214,209390586,84,3891,100,6226760,10.2805,100.0,72.37,99.84,99.4,2.1782
100,20,6199506,21005,31923946,207456797,331,9974,100,6220511,10.2641,99.99,56.29,99.58,98.48,2.1725
100,50,6198768,14541,31720316,202988804,1069,24831,100,6213309,10.2104,99.98,38.97,98.94,96.36,2.1586
100,100,6197429,10773,31453621,197560404,2408,45114,100,6208202,10.1329,99.96,28.87,98.11,93.78,2.1405
